gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2557046309,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:244551,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,Umbellula lindahli,,SPECIES,Umbellula lindahli Kölliker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557046306,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:244550,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,Umbellula lindahli,,SPECIES,Umbellula lindahli Kölliker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557046091,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246342,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557045887,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246351,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557045693,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:246346,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,,,GENUS,Umbellula Cuvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557045686,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:244549,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,Umbellula lindahli,,SPECIES,Umbellula lindahli Kölliker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557045620,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:244553,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,Umbellula lindahli,,SPECIES,Umbellula lindahli Kölliker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557045425,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:244547,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,Umbellula lindahli,,SPECIES,Umbellula lindahli Kölliker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557044654,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:244552,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,Umbellula lindahli,,SPECIES,Umbellula lindahli Kölliker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557044275,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:244546,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,Umbellula lindahli,,SPECIES,Umbellula lindahli Kölliker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557043529,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:244548,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,Umbellula lindahli,,SPECIES,Umbellula lindahli Kölliker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557043480,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:244545,Animalia,Cnidaria,Anthozoa,Pennatulacea,Umbellulidae,Umbellula,Umbellula lindahli,,SPECIES,Umbellula lindahli Kölliker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557040351,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:239808,Animalia,Cnidaria,Anthozoa,Antipatharia,Cladopathidae,Trissopathes,,,GENUS,Trissopathes Opresko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557036329,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:235496,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Swiftia,Swiftia simplex,,SPECIES,Swiftia simplex (Nutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557030953,df8e3fb8-3da7-4104-a866-748f6da20a3c,NOAA_DSCRTP:229673,Animalia,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,,,,FAMILY,Primnoidae,Primnoidae,,CA,,,Present,,c3ad790a-d426-4ac1-8e32-da61f81f0117,48.31022,-126.06531,100,,,,854,0,2011-08-12T00:00:00,12,8,2011,9238,,MACHINE_OBSERVATION,,,,,,,CC0_1_0,,,,,2020-06-08T19:36:53.861Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INDIVIDUAL_COUNT_INVALID
